dia,open,last,close,date,symbol,exchange,hora,weekday,high_max,low_min,volume_sum,spline,empresa
2020-06-01 00:00:00,321.775,321.85,321.775,2020-06-02 00:00:00,AAPL,IEXG,24:00:00,Monday,322.335,316.89,20562478.0,0,AAPL
2020-06-02 00:00:00,323.39,323.39,323.39,2020-06-03 00:00:00,AAPL,IEXG,24:00:00,Tuesday,323.43,318.99,3014667.0,0,AAPL
2020-06-03 00:00:00,325.03,325.03,325.03,2020-06-04 00:00:00,AAPL,IEXG,24:00:00,Wednesday,326.0,322.345,0.0,0,AAPL
2020-06-04 00:00:00,322.32,322.32,322.32,2020-06-05 00:00:00,AAPL,IEXG,24:00:00,Thursday,325.58,320.81,29556399.0,0,AAPL
2020-06-05 00:00:00,331.48,331.5,331.48,2020-06-06 00:00:00,AAPL,IEXG,24:00:00,Friday,331.7,322.32,42498240.0,0,AAPL
2020-06-08 00:00:00,330.25,333.46,331.5,2020-06-09 00:00:00,AAPL,IEXG,24:00:00,Monday,333.6,327.32,30636520.0,0,AAPL
2020-06-09 00:00:00,332.14,343.99,333.46,2020-06-10 00:00:00,AAPL,IEXG,24:00:00,Tuesday,345.61,332.01,48885922.0,0,AAPL
2020-06-10 00:00:00,84.93557628800377,157.46068734791268,463.534213243233,2020-06-10 00:00:00,AAPL,IEXG,,,177.44203281750268,334.89078422896694,30997324.168291014,1,AAPL
2020-06-11 00:00:00,336.05,336.05,336.05,2020-06-12 00:00:00,AAPL,IEXG,24:00:00,Thursday,350.95,335.67,0.0,0,AAPL
2020-06-12 00:00:00,338.85,338.85,338.85,2020-06-13 00:00:00,AAPL,IEXG,24:00:00,Friday,347.67,334.48,0.0,0,AAPL
2020-06-15 00:00:00,333.25,342.99,338.8,2020-06-16 00:00:00,AAPL,IEXG,24:00:00,Monday,345.68,332.58,47750130.0,0,AAPL
2020-06-16 00:00:00,352.31,352.31,352.31,2020-06-17 00:00:00,AAPL,IEXG,24:00:00,Tuesday,353.075,345.56,113632.0,0,AAPL
2020-06-17 00:00:00,355.15,351.59,352.08,2020-06-18 00:00:00,AAPL,IEXG,24:00:00,Wednesday,355.4,351.09,33832260.0,0,AAPL
2020-06-18 00:00:00,351.41,351.73,351.59,2020-06-19 00:00:00,AAPL,IEXG,24:00:00,Thursday,353.45,349.22,31993200.0,0,AAPL
2020-06-19 00:00:00,354.635,349.72,351.73,2020-06-20 00:00:00,AAPL,IEXG,24:00:00,Friday,356.56,345.15,74691126.0,0,AAPL
2020-06-22 00:00:00,351.34,358.87,349.72,2020-06-23 00:00:00,AAPL,IEXG,24:00:00,Monday,359.46,351.15,40527928.0,0,AAPL
2020-06-23 00:00:00,364.0,366.53,358.87,2020-06-24 00:00:00,AAPL,IEXG,24:00:00,Tuesday,372.38,362.2701,66578442.0,0,AAPL
2020-06-24 00:00:00,365.0,360.06,366.53,2020-06-25 00:00:00,AAPL,IEXG,24:00:00,Wednesday,368.79,358.52,62802024.0,0,AAPL
2020-06-25 00:00:00,360.7,364.84,360.06,2020-06-26 00:00:00,AAPL,IEXG,24:00:00,Thursday,365.0,357.57,40469030.0,0,AAPL
2020-06-26 00:00:00,364.41,353.63,364.84,2020-06-27 00:00:00,AAPL,IEXG,24:00:00,Friday,365.32,353.02,73948199.0,0,AAPL
2020-06-29 00:00:00,353.25,361.78,353.63,2020-06-30 00:00:00,AAPL,IEXG,24:00:00,Monday,362.1736,351.28,37374799.0,0,AAPL
2020-06-30 00:00:00,360.08,364.8,361.78,2020-07-01 00:00:00,AAPL,IEXG,24:00:00,Tuesday,365.98,360.0,39318815.0,0,AAPL
2020-07-01 00:00:00,365.12,364.11,364.8,2020-07-02 00:00:00,AAPL,IEXG,24:00:00,Wednesday,367.36,363.91,34632609.0,0,AAPL
2020-07-02 00:00:00,367.85,364.11,364.11,2020-07-03 00:00:00,AAPL,IEXG,24:00:00,Thursday,370.47,363.64,34276093.0,0,AAPL
2020-07-03 00:00:00,127.60291340989471,159.6777311388675,541.8532884778522,2020-07-03 00:00:00,AAPL,IEXG,,,181.31700950409925,366.20881364365334,35660223.53955411,1,AAPL
2020-07-06 00:00:00,370.0,373.85,364.11,2020-07-07 00:00:00,AAPL,IEXG,24:00:00,Monday,375.78,369.87,35786488.0,0,AAPL
2020-07-07 00:00:00,375.41,372.69,373.85,2020-07-08 00:00:00,AAPL,IEXG,24:00:00,Tuesday,378.62,372.23,33603300.0,0,AAPL
2020-07-08 00:00:00,376.72,381.37,372.69,2020-07-09 00:00:00,AAPL,IEXG,24:00:00,Wednesday,381.5,376.36,34380835.0,0,AAPL
2020-07-09 00:00:00,385.05,382.73,381.37,2020-07-10 00:00:00,AAPL,IEXG,24:00:00,Thursday,393.91,378.69,36012081.0,0,AAPL
2020-07-10 00:00:00,381.34,383.68,383.01,2020-07-11 00:00:00,AAPL,IEXG,24:00:00,Friday,383.92,378.82,25107522.0,0,AAPL
2020-07-13 00:00:00,389.06,381.91,383.68,2020-07-14 00:00:00,AAPL,IEXG,24:00:00,Monday,399.82,381.03,56947715.0,0,AAPL
2020-07-14 00:00:00,379.36,388.23,381.91,2020-07-15 00:00:00,AAPL,IEXG,24:00:00,Tuesday,389.02,375.51,50105259.0,0,AAPL
2020-07-15 00:00:00,395.96,390.9,388.23,2020-07-16 00:00:00,AAPL,IEXG,24:00:00,Wednesday,396.99,385.96,46102197.0,0,AAPL
2020-07-16 00:00:00,386.25,386.09,390.9,2020-07-17 00:00:00,AAPL,IEXG,24:00:00,Thursday,389.62,383.62,37433112.0,0,AAPL
2020-07-17 00:00:00,387.95,385.31,386.09,2020-07-18 00:00:00,AAPL,IEXG,24:00:00,Friday,388.59,383.36,32676818.0,0,AAPL
2020-07-20 00:00:00,385.66,393.43,385.31,2020-07-21 00:00:00,AAPL,IEXG,24:00:00,Monday,394.0,384.25,26925249.0,0,AAPL
